Units,Regularization Parameter,Epochs,Batch Size,Training Accuracy (%),Test Accuracy (%),Training RMSE,Test RMSE,MSE
"(32, 16)",0.1,70,16,-23.689123593202666,-20.65407925301596,1.330335757699821,1.4481228207561592,2.097059703994775
"(32, 16)",0.1,70,32,-24.180256805653205,-20.468605728427278,1.3567997215521799,1.4357192250888189,2.0612896932896385
"(32, 16)",0.1,70,64,-28.14988534367185,-23.035063896583278,1.5706970990340519,1.60735185829372,2.583579996360275
"(32, 16)",0.5,30,16,-26.443153221227657,-21.66679693207351,1.4787324425029658,1.5158486088116447,2.297797004836199
"(32, 16)",0.5,30,32,-29.99366080646456,-24.213745406336567,1.670046126878766,1.6861765255877281,2.8431912754431026
"(32, 16)",0.5,30,64,-32.63757416119695,-25.77579258302248,1.812509364295138,1.7906388828750526,3.2063876088640164
"(32, 16)",0.5,50,16,-24.509744333737956,-20.733327508670154,1.3745536543182642,1.453422570802191,2.1124371693172503
"(32, 16)",0.5,50,32,-25.687385193416553,-21.34363471858189,1.4380090353667077,1.4942370422012514,2.232744338286344
"(32, 16)",0.5,50,64,-27.86299154429981,-23.051756818574567,1.5552382643562563,1.6084682022859182,2.587169957764894
"(32, 16)",0.5,60,16,-23.85067032022124,-20.49416212741304,1.3390404566204157,1.4374283166717583,2.066200165569805
"(32, 16)",0.5,60,32,-25.186131459789458,-21.18895817737392,1.4109997426711884,1.4838930037158609,2.20193844647688
"(32, 16)",0.5,60,64,-30.255521015474464,-24.480153038191666,1.6841560647325557,1.7039926131158663,2.9035908255534384
"(32, 16)",0.5,70,16,-24.02475135587398,-20.818708124387058,1.348420547638714,1.4591324242032606,2.129067431361284
"(32, 16)",0.5,70,32,-25.252446093147437,-21.198072374735165,1.4145730055163368,1.484502518303735,2.203747726850131
"(32, 16)",0.5,70,64,-26.862731124452772,-21.715495953914342,1.5013407576865294,1.5191053699997885,2.3076811251621945
"(64, 32)",0.1,30,16,-23.997551460054716,-20.348400312886735,1.3469549227501885,1.427680453114781,2.0382714762060266
"(64, 32)",0.1,30,32,-25.674263883632847,-21.19928442936309,1.4373020136076233,1.4845835748079712,2.203988390589615
"(64, 32)",0.1,30,64,-34.203840092690875,-27.961729245077606,1.8969052144300151,1.9368240301658886,3.751287323828035
"(64, 32)",0.1,50,16,-23.744706807831573,-20.40609848736139,1.3333307744192113,1.4315390352413373,2.049304009419699
"(64, 32)",0.1,50,32,-23.867636400825617,-20.19423523870983,1.3399546479893727,1.4173706191352067,2.0089394719877194
"(64, 32)",0.1,50,64,-27.854320653396996,-23.202656669679385,1.5547710466287585,1.6185596735269852,2.6197354167677807
"(64, 32)",0.1,60,16,-23.968492916728156,-20.351054692391795,1.34538914747639,1.4278579655128523,2.038778369678502
"(64, 32)",0.1,60,32,-23.99788885546361,-20.222265717629853,1.3469731027870473,1.4192451655302076,2.0142568398808667
"(64, 32)",0.1,60,64,-25.93057512613486,-21.221450978445066,1.4511129538669516,1.486065969196943,2.2083920648052495
"(64, 32)",0.1,70,16,-23.077938068807338,-20.18066097323252,1.2974029581768975,1.416462836200499,2.0063669663371617
"(64, 32)",0.1,70,32,-23.55921955046423,-20.179152493240373,1.323336076545797,1.41636195616419,2.006081190869251
"(64, 32)",0.1,70,64,-24.663563002242316,-20.949998770465985,1.3828419385961825,1.4679125241796767,2.15476717864355
"(64, 32)",0.5,30,16,-24.086439452236874,-20.36723049348775,1.3517445165963882,1.428939726895424,2.041868743099969
"(64, 32)",0.5,30,32,-31.675956301861532,-26.448879384644503,1.7606940530433093,1.8356517576498077,3.3696173753628282
"(64, 32)",0.5,30,64,-32.67948909644507,-26.180738941320243,1.8147678866331927,1.8177197878528717,3.3041052271518887
